1 0.000001
2 0.000001
3 0.000000
4 0.000001
5 0.000001
6 0.000000
7 0.000000
8 0.000000
9 0.000000
10 0.000001
11 0.000000
12 0.000000
13 0.000000
14 0.000000
15 0.000001
16 0.000001
17 0.000000
18 0.000001
19 0.000001
20 0.000000
21 0.000001
22 0.000000
23 0.000001
24 0.000001
25 0.000000
26 0.000001
27 0.000001
28 0.000001
29 0.000000
30 0.000000
31 0.000001
32 0.000001
33 0.000001
34 0.000001
35 0.000000
36 0.000000
37 0.000001
38 0.000001
39 0.000001
40 0.000002
41 0.000001
42 0.000000
43 0.000001
44 0.000001
45 0.000001
46 0.000001
47 0.000001
48 0.000001
49 0.000001
50 0.000002
51 0.000001
52 0.000001
53 0.000002
54 0.000001
55 0.000001
56 0.000002
57 0.000001
58 0.000001
59 0.000002
60 0.000001
61 0.000001
62 0.000001
63 0.000001
64 0.000001
65 0.000001
66 0.000002
67 0.000002
68 0.000001
69 0.000001
70 0.000002
71 0.000001
72 0.000002
73 0.000001
74 0.000002
75 0.000001
76 0.000002
77 0.000002
78 0.000001
79 0.000001
